Toronto North, (34021) Hourly, Fine particulate matter (PM2.5) Concentrations,,,,,,,,,,,,,,,,,,,,,,,,
Station,Toronto North (34021),,,,,,,,,,,,,,,,,,,,,,,,,
Address,4905 Dufferin St., Eccc,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,43.78047,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-79.467372,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation, 186 metres,,,,,,,,,,,,,,,,,,,,,,,,,
Air intake height,4 metres,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant,Fine Particulate Matter (fine particulate matter PM2.5),,,,,,,,,,,,,,,,,,,,,,,,,
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>),,,,,,,,,,,,,,,,,,,,,,,,,
Remarks, 9999 for invalid or missing data.,,,,,,,,,,,,,,,,,,,,,,,,,
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
34021,Fine Particulate Matter,1/1/2021,21,37,24,22,24,28,21,16,14,12,10,8,7,7,6,5,8,8,7,4,2,1,2,1
34021,Fine Particulate Matter,1/2/2021,1,0,0,0,0,0,1,1,1,1,2,2,2,2,2,3,4,5,5,9,9,12,15,14
34021,Fine Particulate Matter,1/3/2021,15,15,12,9,9,8,7,9,7,6,10,11,4,3,4,6,10,11,12,12,10,12,14,13
34021,Fine Particulate Matter,1/4/2021,14,13,13,12,12,8,10,12,13,6,4,4,5,10,9,9,9,11,18,20,22,23,19,16
34021,Fine Particulate Matter,1/5/2021,14,13,13,13,12,12,11,10,8,9,10,11,12,12,13,14,14,13,13,14,13,10,11,11
34021,Fine Particulate Matter,1/6/2021,13,12,13,10,10,5,3,3,2,2,2,2,2,1,2,2,2,2,1,1,1,0,1,1
34021,Fine Particulate Matter,1/7/2021,1,1,1,1,1,1,1,1,1,1,1,2,2,3,4,4,4,4,4,4,4,5,4,4
34021,Fine Particulate Matter,1/8/2021,4,3,2,2,3,3,2,2,1,1,1,1,2,4,5,4,4,6,9,9,7,3,4,3
34021,Fine Particulate Matter,1/9/2021,3,4,3,2,2,1,1,1,3,3,2,2,2,2,2,1,1,1,1,1,2,2,2,2
34021,Fine Particulate Matter,1/10/2021,2,3,3,4,3,2,3,4,3,4,3,8,11,15,12,15,12,7,9,10,10,10,9,11
34021,Fine Particulate Matter,1/11/2021,12,11,12,15,13,11,11,16,14,22,24,42,51,50,41,32,14,14,13,15,16,19,22,27
34021,Fine Particulate Matter,1/12/2021,31,31,28,23,22,21,21,22,25,27,27,24,20,15,11,10,8,8,8,7,9,12,16,21
34021,Fine Particulate Matter,1/13/2021,25,25,23,23,19,16,17,21,24,26,28,23,19,18,18,19,20,23,24,25,27,25,24,25
34021,Fine Particulate Matter,1/14/2021,24,26,27,28,27,27,27,27,28,32,34,22,17,17,17,21,29,31,33,32,32,29,31,30
34021,Fine Particulate Matter,1/15/2021,30,26,19,17,18,20,21,20,18,18,17,13,14,15,16,16,17,17,15,13,13,12,14,13
